src,dst,relationship
1,2,0.6254749117398578
1,3,1.7465376484835686
1,4,4.7568748661268145
2,6,3.527731569193673
2,7,1.6379304279209408
2,4,5.064596874547301
3,8,2.1260401284606285
3,9,2.730638602961474
3,10,2.2898373199366535
4,5,5.969580979785641
4,6,8.469136928157475
4,7,6.556949812805451
5,8,2.156946277340633
5,9,2.4232465350552195
5,10,2.322558549974316
6,3,2.559680473117969
6,5,2.669511153829627
6,7,1.9205395279301125
7,1,2.2040016626020473
7,8,1.4696954686115875
7,9,3.2397228824032913
8,1,3.5265430857778046
8,2,3.0329862632132927
8,4,8.023712282556527
9,1,1.0518756739455306
9,2,1.610211711494209
9,4,3.882734236221232
10,2,3.2000040115743023
10,1,3.69143854402362
10,4,8.189777770249627
