,id,nome,latitude,longitude
0,1,Albergue Piratas da Praia Hostel,-8.107019,-34.889533
1,2,Boa Viagem Hostel,-8.110046,-34.894322
2,3,Imperial Suítes Flat,-8.117141,-34.901665
3,4,MercureAptMetrópolis,-8.064499,-34.894286
4,5,MercureApt Navegantes Residence Hotel,-8.118182,-34.894833
5,6,TulipInn Recife Flat,-8.139897,-34.905175
6,7,Park Way Home Service,-8.123057,-34.901298
7,8,Atlante Plaza,-8.136259,-34.90194
8,9,Best Western Manibu Recife Hotel,-8.098362,-34.885681
9,10,Boa Viagem Praia H.W.F.,-8.137725,-34.90228
